GISJOIN,ZCTA5CE10
G1801090510900,46151
G1801090510800,46151
G1801090510500,46151
G1800710967500,47274
G1800710967700,47274
G1800710967600,47274
G1800710967800,47274
G1800710967902,47274
G1800710967901,47274
G1800710968000,47274
G1800730100400,46310
G1800730100902,46310
G1801590020200,46068
G1900470070200,51461
G2001770004000,66612
G2102350920400,40701
G2101210930400,40701
G2102350920300,40701
G2102350920200,40701
G2102350920100,40701
G2101250971002,40701
G2100450950300,42539
G2100450950500,42539
G2100450950200,42539
G2101790930200,40013
G2100510950500,40962
G2100510950300,40962
G2100510950200,40962
G2100510950400,40962
G2100510950600,40962
G2101310920100,41749
G2101770960700,42337
G2200850000300,71486
G2200250000100,71340
G2200890062302,70047
G2200890062301,70047
G2200530000600,70546
G2200530000500,70546
G2200530000700,70546
G2300190013500,04488
G2300050012000,04071
G2300270047000,04921
G2500170351404,02145
G2500170351403,02145
G2500170350300,02145
G2500170350104,02145
G2500170350200,02145
G2500170350103,02145
G2601250166000,48334
G2601250166100,48334
G2601250166500,48334
G2601250166600,48334
G2601250166700,48334
G2601010000500,49619
G2600730000200,48893
G2601250194300,48309
G2601250194500,48309
G2601250194200,48309
G2601250192800,48309
G2601250194400,48309
G2601250194600,48309
G2601250192400,48309
G2601250193000,48309
G2601250193100,48309
G2601250192700,48309
G2700010770200,56469
G2701370013300,55734
G2800370950100,39653
G2800330071110,38632
G2800330071120,38632
G2800330071000,38632
G2800330071200,38632
G2800570950100,38843
G2800570950300,38843
G2800570950400,38843
G2800490002500,39203
G2800490001900,39203
G2801110950200,39425
G2901610890300,65401
G2901610890800,65401
G2901610891000,65401
G2901610890700,65401
G2901610890900,65401
G2901610890500,65401
G2901610890400,65401
G2901010960900,64040
G2901010960200,64040
G2900950005602,64128
G2900950005601,64128
G2900950005801,64128
G2900950016400,64128
G2900950005700,64128
G2900950003800,64128
G2900890960200,65248
G2900890960300,65248
G2900550450102,65441
G2902250470102,65706
G2902250470201,65706
G2902250470202,65706
G3000690000100,59087
G3400070607100,08078
G3400070607200,08078
G3400390039400,07063
G3400350051900,07063
G3400390039500,07063
G3500350000402,88310
G3500350000306,88310
G3500350000500,88310
G3500350000304,88310
G3500350000303,88310
G3500350000305,88310
G3500350000602,88310
G3500350000401,88310
G3500350000100,88310
G3500350000200,88310
G3500570963700,88321
G3500110960100,88119
G3600610006100,10003
G3600610004200,10003
G3600610004000,10003
G3600610004800,10003
G3600610005200,10003
G3600610003800,10003
G3600610005000,10003
G3600610005900,10003
G3600610005700,10003
G3600610003602,10003
G3600610031703,10282
G3600010001400,12210
G3600010002200,12210
G3600010000200,12210
G3600470029500,11233
G3600470029700,11233
G3600470029900,11233
G3600470030100,11233
G3600470030300,11233
G3600470027300,11233
G3600470030700,11233
G3600470035900,11233
G3600470036100,11233
G3600470036300,11233
G3600470036501,11233
G3600470036502,11233
G3600470036700,11233
G3600470036900,11233
G3600470037100,11233
G3600470037300,11233
G3600470037700,11233
G3600470037900,11233
G3600470038100,11233
G3600470038300,11233
G3600470042100,11221
G3600470039500,11221
G3600470042300,11221
G3600470039700,11221
G3600470039900,11221
G3600470027900,11221
G3600470028100,11221
G3600470043500,11221
G3600470028900,11221
G3600470029100,11221
G3600470029300,11221
G3600470026300,11221
G3600470027500,11221
G3600470027700,11221
G3600470041500,11221
G3600470041700,11221
G3600470037500,11221
G3600470041900,11221
G3600470038500,11221
G3600470038700,11221
G3600470039300,11221
G3700850070100,28334
G3700850070300,28334
G3700850070200,28334
G3700850070500,28334
G3701630970301,28334
G3701350010901,27278
G3701350010902,27278
G3701350011000,27278
G3700470930900,28472
G3700470931000,28472
G3700470930800,28472
G3800610940300,58770
G3901130002600,45410
G3901130002700,45410
G3901130003300,45410
G3901130002200,45410
G3901490972300,45363
G4100050023600,97023
G4100050980000,97023
G4100050024200,97023
G4100430020300,97321
G4100030010100,97321
G4100430020400,97321
G4100170001002,97701
G4100170001100,97701
G4100170000500,97701
G4100170001200,97701
G4100170001300,97701
G4100170001700,97701
G4100170001600,97701
G4100170001800,97701
G4100170000600,97701
G4100430030200,97374
G4100430030100,97374
G4100010950600,97834
G4100590951400,97868
G4200170104100,18917
G4200430021500,17104
G4200430021700,17104
G4200430021400,17104
G4200430021300,17104
G4200270011000,16823
G4200270011100,16823
G4200270011201,16823
G4200270010600,16823
G4200270981202,16823
G4200030449000,15046
G4500730030401,29691
G4500730030500,29691
G4500410002202,29560
G4500410002201,29560
G4500410002000,29560
G4500890970200,29560
G4500890970100,29560
G4500410002400,29591
G4500630020801,29160
G4500170950100,29160
G4500630020802,29160
G4500630020803,29160
G4500350010300,29437
G4701550080500,37862
G4701550080802,37862
G4701550080801,37862
G4701550080901,37862
G4701550080902,37862
G4701290110300,37887
G4700290920200,37821
G4700290920501,37821
G4700290920600,37821
G4700290920502,37821
G4700850130200,37185
G4700850130300,37185
G4700410920200,37166
G4700410920102,37166
G4700410920101,37166
G4700030950700,37183
G4700930005302,37871
G4700890070500,37871
G4701530060200,37327
G4701530060101,37327
G4701530060102,37327
G4701690090100,37074
G4701690090200,37074
G4804990950200,75494
G4804990950100,75494
G4803790950200,75472
G4800390664300,77541
G4800390664100,77541
G4800390664200,77541
G4800390664400,77541
G4800930950400,76446
G4801430950300,76446
G4804630950100,78881
G4800050001300,75949
G4804850013200,76305
G4804850011300,76305
G4804850011200,76305
G4804850980000,76305
G4802470950400,78361
G4802470950200,78361
G4801830000800,75604
G4801830000700,75604
G4801830000502,75604
G4801830000501,75604
G4801830000900,75604
G4801830010301,75604
G4801830010302,75604
G4803950960300,77856
G4900150976300,84537
G4900270974200,84624
G4900150976200,84528
G4900490010217,84003
G4900490000206,84003
G4900490000400,84003
G4900490000204,84003
G4900490010112,84003
G4900490010700,84003
G4900490010218,84003
G4900490000205,84003
G4900490010219,84003
G4900490000203,84003
G4900230010100,84648
G5100510040100,24256
G5101850020600,24651
G5101850020700,24651
G5101710040100,22657
G5108200003300,22980
G5108200003400,22980
G5100150070500,22980
G5108200003500,22980
G5108200003200,22980
G5108200003100,22980
G5101070610601,20175
G5101070610602,20175
G5101070610506,20175
G5101070610703,20175
G5101070610603,20175
G5101070610604,20175
G5101070611024,20175
G5100230040100,24085
G5101010950102,23009
G5100230040200,24066
G5300530062500,98408
G5300530063501,98408
G5300530063100,98408
G5300530063200,98408
G5300530063400,98408
G5300530062400,98408
G5401090003200,24726
G5300330023603,98007
G5300330023401,98007
G5300330023201,98007
G5500850970400,54501
G5500850970102,54501
G5500850970500,54501
G5500850971500,54501
G5500850970602,54501
G5500850971400,54501
G5500850970601,54501
G5600170967900,82443
G5600170967800,82443
G7200390955800,00638
G7200390955600,00638
G7200390955900,00638
G7200390955700,00638
G5400630950200,24983
G0101330965600,35553
G3000710060200,59538
G2601630985400,48242
G5300410971200,98570
G0101070050300,35447
G0100230956800,36904
G0400190470400,85321
G0400130940700,85321
G0600970154303,95421
G0600970154304,95421
G0600970153703,95421
G0900090140400,06519
G0900090140300,06519
G0900090140500,06519
G0900090140600,06519
G1200890050302,32097
G1200890050301,32097
G1200860006705,33129
G1200860006702,33129
G1200860006601,33129
G1200860006706,33129
G1300830040102,30738
G1300830040300,30738
G1302950020400,30738
G1600790960400,83873
G0400170960100,86025
G0400170960200,86025
G1700310800600,60043
G3900170010203,45053
G1200050001100,32404
G1200050000806,32404
G1200050000804,32404
G1200050000805,32404
G1200050000400,32404
G1200050000803,32404
G1200050000900,32404
G2100890040700,41175
G2300170965100,03579
G3300070950300,03579
G2500110040200,01337
G2600690000100,48750
G2600690000300,48750
G2600690000400,48750
G2801510002000,38748
G2801510000100,38748
G2801510001500,38748
G2801510002100,38748
G2600130000100,49946
G2600550551100,49686
G2600550551000,49686
G2600550550900,49686
G2600550551300,49686
G2600550550200,49686
G2600550551200,49686
G2600550550600,49686
G2701150950500,55037
G2701150950400,55037
G2500210400200,02446
G2500210400100,02446
G2500210400800,02446
G2500210400400,02446
G2500210400300,02446
G2800010000700,39120
G2800010000800,39120
G2800010000600,39120
G2800010000500,39120
G2800010000100,39120
G2800010000900,39120
G2800010000300,39120
G2800010000200,39120
G2800010000400,39120
G2900690360300,63933
G3100450950600,69337
G3100450950700,69337
G3200170950100,89043
G3400290736101,08087
G3400290736105,08087
G3400290737000,08087
G3400290736001,08087
G3400290736102,08087
G3400290980100,08087
G3600870013401,10983
G3700490960900,28560
G3700490960102,28560
G3700490961002,28560
G3700490960101,28560
G3700490960800,28560
G3701370950101,28560
G3700490960700,28560
G3400270044701,07849
G3600610001501,10038
G3600610002700,10038
G3600610001502,10038
G3600610002500,10038
G3400010011500,08330
G3400010011404,08330
G3400010011403,08330
G3400010011401,08330
G4201010001002,19106
G4201010001001,19106
G4201010000100,19106
G4201010036600,19106
G0101310034700,36728
G5600390967600,82190
G5600370970700,82938
G0100590973200,35653
G0100590973100,35653
G0100910973300,36782
G0100550010100,35954
G0100550010300,35954
G0100550010200,35954
G0100550010900,35954
G0101270020700,35504
G0101270020300,35504
G0101270020800,35504
G0101210011500,35151
G0100370961100,35151
G0100650040500,36742
G0100910972900,36742
G0101070050100,35481
G0100730003001,35254
G0201220000800,99556
G0400070000302,85541
G0400070000400,85541
G0400070000500,85541
G0400070000301,85541
G0400070000200,85541
G0400250000202,86323
G0400250000203,86323
G0400250002001,86326
G0400250002004,86326
G0400250002003,86326
G0400250002002,86326
G0400030001000,85638
G0400030000400,85638
G0501230960500,72335
G0501230960400,72335
G0501230960600,72335
G0501230960200,72335
G0500190953601,71923
G0500190953602,71923
G0500190953800,71923
G0600770002504,95206
G0600770000801,95206
G0600770002402,95206
G0600770002503,95206
G0600770002202,95206
G0600770002201,95206
G0600770003802,95206
G0600770002401,95206
G0600770002300,95206
G0600770000700,95206
G0600770003801,95206
G0600770003900,95206
G0600770002800,95206
G0600730020904,92036
G0600730020902,92036
G0600090000210,95252
G0600650045609,92274
G0600650045605,92274
G0601050000400,95552
G0600770004600,95220
G0600370134904,91306
G0600370134101,91306
G0600370134002,91306
G0600370134710,91306
G0600370134800,91306
G0600370113422,91306
G0600370134104,91306
G0600370134103,91306
G0600370134720,91306
G0600290005203,93283
G0600290000903,93306
G0600290000908,93306
G0600290005104,93306
G0600290000907,93306
G0600290001102,93306
G0600290000910,93306
G0600290000909,93306
G0600290001103,93306
G0600290000904,93306
G0600290000905,93306
G0600290000906,93306
G0600290000902,93306
G0600290001101,93306
G0600230940000,95546
G0800590009808,80403
G0800590009842,80403
G0800590009852,80403
G0800590009843,80403
G0800470013800,80422
G0800310004304,80220
G0800310004403,80220
G0800310004202,80220
G0800310004302,80220
G0800310004306,80220
G0800310004303,80220
G0800310004301,80220
G0800310004404,80220
