ZCTA5CE10,treated,event_name
8641,NA,NA
8015,NA,NA
8068,NA,NA
8011,NA,NA
8060,NA,NA
8088,NA,NA
8073,NA,NA
8053,NA,NA
8048,NA,NA
8055,NA,NA
8004,NA,NA
8003,NA,NA
8043,NA,NA
8091,NA,NA
8102,NA,NA
8104,NA,NA
8103,NA,NA
8105,NA,NA
8108,NA,NA
8033,NA,NA
8107,NA,NA
8106,NA,NA
8030,NA,NA
8031,NA,NA
8093,NA,NA
8059,NA,NA
8035,NA,NA
8007,NA,NA
8045,NA,NA
8078,NA,NA
8049,NA,NA
8083,NA,NA
8021,NA,NA
8084,NA,NA
8012,NA,NA
8081,NA,NA
8009,NA,NA
8094,NA,NA
8226,NA,NA
8223,NA,NA
8270,NA,NA
8248,NA,NA
8246,NA,NA
8243,NA,NA
8202,NA,NA
8247,NA,NA
8210,NA,NA
8242,NA,NA
8260,NA,NA
8251,NA,NA
8204,NA,NA
8329,NA,NA
8316,NA,NA
8327,NA,NA
8314,NA,NA
8332,NA,NA
8302,NA,NA
8345,NA,NA
8320,NA,NA
8353,NA,NA
8360,NA,NA
8361,NA,NA
8318,NA,NA
8328,NA,NA
7104,NA,NA
7107,NA,NA
7109,NA,NA
7018,NA,NA
7103,NA,NA
7102,NA,NA
7106,NA,NA
7108,NA,NA
7112,NA,NA
7205,NA,NA
7114,NA,NA
7208,NA,NA
7105,NA,NA
7029,NA,NA
7032,NA,NA
7017,NA,NA
7050,NA,NA
7003,NA,NA
7111,NA,NA
7083,NA,NA
7110,NA,NA
7013,NA,NA
7028,NA,NA
7042,NA,NA
7043,NA,NA
7009,NA,NA
7044,NA,NA
7052,NA,NA
7079,NA,NA
7040,NA,NA
7041,NA,NA
7088,NA,NA
7078,NA,NA
7901,NA,NA
7039,NA,NA
7081,NA,NA
7936,NA,NA
7932,NA,NA
7021,NA,NA
7004,NA,NA
7006,NA,NA
8063,NA,NA
8096,NA,NA
8097,NA,NA
8061,NA,NA
8066,NA,NA
8086,NA,NA
8056,NA,NA
8027,NA,NA
8085,NA,NA
8051,NA,NA
8080,NA,NA
8028,NA,NA
8090,NA,NA
8071,NA,NA
8312,NA,NA
8322,NA,NA
8344,NA,NA
8062,NA,NA
8039,NA,NA
7307,NA,NA
7087,NA,NA
7030,NA,NA
7306,NA,NA
7310,NA,NA
7311,NA,NA
7302,NA,NA
7304,NA,NA
7305,NA,NA
7002,NA,NA
