GISJOIN,ZCTA5CE10
G2300190013500,04488
G2300050012000,04071
G2300270047000,04921
G2500170350100,02145
G2500170350200,02145
G2500170350300,02145
G2500170351400,02145
G2601250166000,48334
G2601250166600,48334
G2601250166100,48334
G2601250166500,48334
G2601250166700,48334
G2601010990500,49619
G2601250193100,48309
G2601250192800,48309
G2601250193000,48309
G2601250194200,48309
G2601250194500,48309
G2601250194600,48309
G2601250192700,48309
G2601250192400,48309
G2601250194300,48309
G2601250194400,48309
G2700010990200,56469
G2701370013300,55734
G2800370950100,39653
G2800330071120,38632
G2800330071110,38632
G2800330071000,38632
G2800330071200,38632
G2800570950100,38843
G2800570950400,38843
G2800570950300,38843
G2800490001900,39203
G2800490002600,39203
G2800490002500,39203
G2801110950200,39425
G2901610990700,65401
G2901610991000,65401
G2901610990500,65401
G2901610990400,65401
G2901610990900,65401
G2901610990300,65401
G2901610990800,65401
G2901010960900,64040
G2901010960200,64040
G2900950003602,64128
G2900950005801,64128
G2900950005602,64128
G2900950003800,64128
G2900950003502,64128
G2900950005700,64128
G2900950003501,64128
G2900950005601,64128
G2900890960200,65248
G2900890960300,65248
G2900550950100,65441
G2902250970100,65706
G2902250970200,65706
G3000690000100,59087
G3400070607100,08078
G3400070607200,08078
G3400390039400,07063
G3400390039500,07063
G3400350051900,07063
G3500350000200,88310
G3500350000402,88310
G3500350000401,88310
G3500350000100,88310
G3500350000302,88310
G3500350000602,88310
G3500350000500,88310
G3500350000301,88310
G3500570963400,88321
G3500110960100,88119
G3600610004000,10003
G3600610003800,10003
G3600610003602,10003
G3600610005200,10003
G3600610006100,10003
G3600610005000,10003
G3600610005900,10003
G3600610004200,10003
G3600610004800,10003
G3600610005700,10003
G3600010000200,12210
G3600010001400,12210
G3600010002200,12210
G3600470038300,11233
G3600470036700,11233
G3600470036900,11233
G3600470037100,11233
G3600470029700,11233
G3600470027300,11233
G3600470036300,11233
G3600470030100,11233
G3600470038100,11233
G3600470037900,11233
G3600470036502,11233
G3600470036100,11233
G3600470037300,11233
G3600470037700,11233
G3600470027500,11233
G3600470029900,11233
G3600470029500,11233
G3600470036501,11233
G3600470030700,11233
G3600470030300,11233
G3600470035900,11233
G3600470039900,11221
G3600470043500,11221
G3600470039300,11221
G3600470027700,11221
G3600470042300,11221
G3600470042100,11221
G3600470026500,11221
G3600470029300,11221
G3600470037500,11221
G3600470026300,11221
G3600470029100,11221
G3600470041700,11221
G3600470041900,11221
G3600470039700,11221
G3600470038500,11221
G3600470028100,11221
G3600470039500,11221
G3600470027900,11221
G3600470041500,11221
G3600470028900,11221
G3600470038700,11221
G3701630970300,28334
G3700850070100,28334
G3700850070500,28334
G3700850070300,28334
G3700850070200,28334
G3701350010900,27278
G3701350011000,27278
G3700470991000,28472
G3700470990800,28472
G3700470990900,28472
G3800610940300,58770
G3901130002100,45410
G3901130002200,45410
G3901130003300,45410
G3901130002700,45410
G3901130002600,45410
G3901490972300,45363
G4100050023600,97023
G4100050024200,97023
G4100430020400,97321
G4100030010100,97321
G4100430020300,97321
G4100170991202,97701
G4100170991201,97701
G4100170991701,97701
G4100170990600,97701
G4100170991300,97701
G4100170991600,97701
G4100170990700,97701
G4100170991702,97701
G4100430030100,97374
G4100430030200,97374
G4100010950600,97834
